localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, planeType, dip, dipAzimuth, strike, declination, unitId, timedate, notes
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 7d265906bbd6a6192acd355a499080fc, 584115.67460449, 5622374.81401564, 50.74705489, 100.19229426, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 69.75852966, 266.84280396, 176.84280396, -1.39611816, Phosphorite, Sun Aug 13 02:24:00 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, b40538892d5aa2481ff9e32223127b79, 584115.67460449, 5622374.81401564, 50.74705489, 100.19229426, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 68.73185730, 261.53683472, 171.53683472, -1.39611816, Phosphorite, Sun Aug 13 02:23:46 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, b02a39c30c3d87034ca7f4d1e440bfea, 584132.03409027, 5622365.68516882, 50.74697044, 100.19252401, 47U, 12.00000000, 10.00000000, -1.00000000, Bedding, 81.99567413, 100.67764282, 10.67764282, -1.39611816, Siltstone, Sun Aug 13 02:18:33 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, cca088740188eafba1956319658ec5da, 584145.83070533, 5622354.46873996, 50.74686759, 100.19271696, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 63.94580078, 108.55477905, 18.55477905, -1.39611816, Siltstone, Sun Aug 13 02:17:20 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, e209775ecebb131509d7ae77e975d294, 584145.56739326, 5622351.72364795, 50.74684295, 100.19271260, 47U, 4.00000000, 5.00000000, -1.00000000, Bedding, 63.74077225, 96.45703125, 6.45703125, -1.39611816, Siltstone, Sun Aug 13 02:16:46 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, b0de60558cece82f99cc532f402d4444, 584146.41324320, 5622352.45512563, 50.74684940, 100.19272476, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 56.90036774, 102.66400909, 12.66400909, -1.39611816, Siltstone, Sun Aug 13 02:15:19 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 2bff7ff7d37cef08eb055e02c94ba347, 584174.30630057, 5622326.47995842, 50.74661182, 100.19311409, 47U, 4.00000000, 5.00000000, -1.00000000, Cleavage, 65.01944733, 128.63134766, 38.63134766, -1.39611816, Khesen, Sun Aug 13 02:13:15 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 4f00aab4dd7397a40d8c9ab3a09466b4, 584164.07775896, 5622280.00961233, 50.74619549, 100.19295853, 47U, 3.00000000, 5.00000000, -1.00000000, Cleavage, 64.93144226, 103.86566925, 13.86566925, -1.39611816, Khesen, Sun Aug 13 02:06:11 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 44224444131b457d61d77d5881c3b0ac, 584103.36641236, 5622305.41396063, 50.74643270, 100.19210399, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 73.49607849, 263.88949585, 173.88949585, -1.39611816, Siltstone, Sun Aug 13 02:03:03 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, f8499dc988322b1eca88c527aed210fd, 584105.38164402, 5622305.52101457, 50.74643337, 100.19213257, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 73.39179230, 260.11282349, 170.11282349, -1.39611816, Siltstone, Sun Aug 13 02:02:25 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 2b1fa5140a08974b365e52d883caf5f8, 584104.24167313, 5622306.52347052, 50.74644255, 100.19211665, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 71.68231201, 277.65600586, 187.65600586, -1.39611816, Siltstone, Sun Aug 13 02:01:46 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, b3b8641c1880cabf38ae1c0ab2b7919c, 584096.74871852, 5622300.21252588, 50.74638689, 100.19200902, 47U, 3.00000000, 5.00000000, -1.00000000, Fault, 63.80617905, 82.43153381, 352.43151855, -1.39611816, Fault, Sun Aug 13 01:59:44 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 418a64c0265181a3c54365608e915532, 584144.77922338, 5622296.05031004, 50.74634251, 100.19268871, 47U, 3.00000000, 5.00000000, -1.00000000, Cleavage, 85.24967957, 103.27733612, 13.27733612, -1.39611816, Khesen, Sun Aug 13 01:54:13 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 8c4bdc0acd3e0d976ddd86682edc65a1, 584142.00668820, 5622296.32258194, 50.74634536, 100.19264949, 47U, 12.00000000, 5.00000000, -1.00000000, Cleavage, 80.40797424, 110.32175446, 20.32175446, -1.39611816, Khesen, Sun Aug 13 01:53:24 2017, 
